category,name,quantity,date_of_purchase
Microcontrollers / Boards,Break Out Board ESP‑32,6.0,28.02.2024
Microcontrollers / Boards,ESP 32 WROOM,2.0,30.10.2023
Microcontrollers / Boards,OceanLabz ESP32 WROOM‑32,5.0,"21.12.2023,
07.06.2024"
Microcontrollers / Boards,Raspberry Pi Zero W Starter Kit,1.0,07.06.2024
Microcontrollers / Boards,Raspberry Pi Zero 2 W,,01.09.2022
Microcontrollers / Boards,SIM A7672S 4G LTE + GNSS board,1.0,07.01.2024
Microcontrollers / Boards,ESP32‑S3‑Dev Kit,5.0,07.01.2024
Microcontrollers / Boards,NB‑IoT / Cat‑M HAT,2.0,24.07.2024
Microcontrollers / Boards,LoRa HAT 868 MHz,2.0,24.07.2024
Sensors,ADS1115 ADC (2 units + another set of 5) → total,7.0,24.07.2024
Sensors,ADS1115 16‑Bit ADC with PGA,1.0,25.09.2023
Sensors,INA219 power/current monitor (CJMCU‑219),12.0,25.09.2023
Sensors,Waterproof Ultrasonic Obstacle Sensor,2.0,25.09.2023
Sensors,HC‑SR04 Ultrasonic Bracket,6.0,25.09.2023
Sensors,SONOFF DS18B20 temperature sensor,1.0,25.09.2023
Sensors,MPU‑6050 gyro / accelerometer,5.0,25.09.2023
Sensors,BMP 280 pressure / temperature sensor,5.0,21.03.2024
Sensors,Soil Moisture (REES52) sensor,5.0,25.09.2023
Sensors,DHT22 humidity / temperature sensor,5.0,21.12.2023
Sensors,pH sensor,1.0,"07.06.2024,
"
Sensors,TDS sensor,1.0,"07.06.2024,
"
Sensors,Turbidity sensor,1.0,"07.06.2024,
"
Actuators,TB 6600 stepper motor driver,3.0,17.01.2024
Actuators,Stepper Motor,1.0,23.02.2024
Actuators,L298 Motor Driver,6.0,17.01.2024
Actuators,1000 RPM DC Motor,6.0,03.08.2023
Actuators,RGB Strip,1.0,25.09.2023
Actuators,LED Strip,1.0,25.09.2023
Actuators,100 W Flood Light,1.0,25.09.2023
Electric Components,TLP IC (optocoupler),21.0,25.09.2023
Electric Components,PC817 IC (optocoupler),22.0,18.04.2023
Electric Components,MOSFET Module,21.0,21.12.2023
Electric Components,Resistors (SMD resistors),100.0,21.12.2023
Electric Components,Metal Film Resistor Kit (600 pcs × 4 kits?),4.0,21.12.2023
Electric Components,PC817 4‑ch Optocoupler Module,10.0,21.12.2023
Electric Components,I²C Serial Interface Adapter,20.0,21.12.2023
Electric Components,PCI‑E GPU Power Cable Adapters,4.0,21.12.2023
Electric Components,USB‑TTL Converters,6.0,27.12.2023
Electric Components,TTL‑to‑RS485 Converter,5.0,27.12.2023
Electric Components,18650 Battery Holder (single),20.0,27.12.2023
Electric Components,Dual‑18650 Power Shield,1.0,18.04.2023
Electric Components,Battery Balance Board,1.0,18.04.2023
Electric Components,Powered USB Hub (QZ Active 7‑Port),1.0,18.04.2023
Electric Components,Card Reader,1.0,18.04.2023
Electric Components,SSD,1.0,18.03.2023
Electric Components,RAM 8 GB,1.0,18.04.2023
Electric Components,Copper‑clad PCB Boards (15 × 20 cm),4.0,18.04.2023
Electric Components,M.2 NVMe SSD Enclosure,1.0,18.04.2023
Displays,OLED Display,3.0,27.09.2024
Displays,5″ LCD,2.0,16.07.2024
Displays,LED Display Board,1.0,17.07.2024
Displays,RGB LED Matrix Panel (Waveshare),1.0,13.07.2024
Displays,5.0″ HMI LCD Touchscreen,1.0,08.06.2024
Miscellaneous,BTS7960 (motor driver modules),6.0,08.06.2024
Miscellaneous,12 V DC Fan,2.0,07.06.2024
Miscellaneous,Voltmeter,2.0,07.06.2024
Miscellaneous,Ammeter,2.0,03.10.2024
Miscellaneous,MCBs,4.0,03.10.2024
Miscellaneous,MCB Covers,3.0,03.10.2024
Miscellaneous,ON/OFF Switches,20.0,03.10.2024
Miscellaneous,Five‑Pin Sockets,2.0,03.10.2024
Miscellaneous,Three‑Pin Sockets,10.0,03.10.2024
Miscellaneous,Mounting Holder,1.0,03.10.2024
Miscellaneous,Li‑Po Charger,1.0,30.09.2024
Miscellaneous,Three‑Pin Top,3.0,30.09.2024
Miscellaneous,DC‑USB Modules,3.0,30.09.2024
Miscellaneous,Power Supply (Cooler Master units),3.0,30.09.2024
Miscellaneous,DC‑DC Converter 24 V,1.0,30.09.2024
Miscellaneous,DC‑DC Converter 5 V,1.0,01.10.2024
Miscellaneous,POE Switch (10‑port),1.0,18.11.2024
Miscellaneous,SFP Modules,2.0,30.09.2024
Miscellaneous,Optical Fiber Cable,2.0,30.09.2024
Miscellaneous,PCB Coating & Cleaner,1.0,30.09.2024
Miscellaneous,Drill Bit Set (10‑pieces),1.0,30.09.2024
Miscellaneous,Hole Saw Set (11‑pieces),1.0,30.09.2024
Miscellaneous,5 V 5 A Adapter,1.0,29.09.2024
Miscellaneous,Managed 24‑Port Switch,1.0,29.09.2024
Miscellaneous,Stepper Motor Coupler,2.0,29.09.2024
Miscellaneous,Clamps,4.0,29.09.2024
Miscellaneous,Sun Board (120 × 140 cm),1.0,29.09.2024
Miscellaneous,Wire Cable (3 coils),3.0,29.09.2024
Miscellaneous,Wire Cable (2 coils),2.0,29.09.2024
Miscellaneous,CPU Power Connector (4 → 8‑pin adapter),1.0,29.09.2024
Miscellaneous,Power‑splitter Adapter,1.0,
Miscellaneous,Hammer: Taparia SFH30 soft face,1.0,29.09.2024
Miscellaneous,Taparia CH‑340 Claw Hammer,1.0,29.09.2024
Miscellaneous,WD‑40 Smart Straw Spray,1.0,28.09.2024
Miscellaneous,Taparia Bevel Chisel WCB32,1.0,29.09.2024
Miscellaneous,Measuring Tape 5 m,2.0,30.09.2024
Miscellaneous,Copper Wire Lug pack,1.0,28.09.2024
Miscellaneous,FRC 40‑Pin Cable,1.0,28.09.2024
Miscellaneous,PCB Soldering Clamp (Helping Hand),3.0,28.09.2024
Miscellaneous,"PC Cooler Fan Dust Filters (120 mm, 6‑pack)",1.0,18.11.2024
Miscellaneous,Rack Gear (9″),2.0,18.11.2024
Miscellaneous,Digital Tester (Taparia MDTN82),1.0,18.11.2024
Miscellaneous,Allen / Hex Wrench Set,1.0,18.11.2024
Miscellaneous,Combination Plier with Cutter,1.0,28.9.2024
Miscellaneous,Crimping Pliers (WADFOW),1.0,19.10.2024
Miscellaneous,"Solder Wire (60/40, 250 g)",1.0,19.10.2024
Miscellaneous,Steel Wool Pack (animal blocker),1.0,19.10.2024
Miscellaneous,Wire Stripper Tool (“TRENDING”),1.0,19.10.2024
Miscellaneous,Bosch HSS Twist Drill Bits (1–10 mm set),1.0,19.10.2024
Miscellaneous,Stainless Tweezer Set (THEMISTO),1.0,01.10.2024
Miscellaneous,Solder Stripper / Cutter (Aadvay Enterprises),1.0,01.10.2024
